PERMNO,date,TICKER,PRC
55976,2019/05/17,WMT,100.86000
55976,2019/05/20,WMT,101.52000
55976,2019/05/21,WMT,101.12000
55976,2019/05/22,WMT,102.23000
55976,2019/05/23,WMT,101.86000
55976,2019/05/24,WMT,102.67000
55976,2019/05/28,WMT,102.42000
55976,2019/05/29,WMT,102.12000
55976,2019/05/30,WMT,102.19000
55976,2019/05/31,WMT,101.44000
55976,2019/06/03,WMT,101.96000
55976,2019/06/04,WMT,102.56000
55976,2019/06/05,WMT,104.42000
55976,2019/06/06,WMT,105.11000
55976,2019/06/07,WMT,106.06000
55976,2019/06/10,WMT,107.52000
55976,2019/06/11,WMT,107.94000
55976,2019/06/12,WMT,108.82000
55976,2019/06/13,WMT,108.65000
55976,2019/06/14,WMT,109.07000
55976,2019/06/17,WMT,109.16000
55976,2019/06/18,WMT,109.65000
55976,2019/06/19,WMT,109.62000
55976,2019/06/20,WMT,110.32000
55976,2019/06/21,WMT,111.13000
55976,2019/06/24,WMT,111.24000
55976,2019/06/25,WMT,110.72000
55976,2019/06/26,WMT,110.16000
55976,2019/06/27,WMT,110.10000
55976,2019/06/28,WMT,110.49000
57665,2019/04/01,NKE,85.23000
57665,2019/04/02,NKE,84.37000
57665,2019/04/03,NKE,84.47000
57665,2019/04/04,NKE,85.28000
57665,2019/04/05,NKE,85.40000
57665,2019/04/08,NKE,84.73000
57665,2019/04/09,NKE,84.28000
57665,2019/04/10,NKE,84.88000
57665,2019/04/11,NKE,85.00000
57665,2019/04/12,NKE,86.24000
57665,2019/04/15,NKE,86.83000
57665,2019/04/16,NKE,87.80000
57665,2019/04/17,NKE,88.73000
57665,2019/04/18,NKE,89.20000
57665,2019/04/22,NKE,87.36000
57665,2019/04/23,NKE,87.43000
57665,2019/04/24,NKE,88.39000
57665,2019/04/25,NKE,87.56000
57665,2019/04/26,NKE,88.31000
57665,2019/04/29,NKE,88.26000
57665,2019/04/30,NKE,87.83000
57665,2019/05/01,NKE,85.90000
57665,2019/05/02,NKE,85.27000
57665,2019/05/03,NKE,85.70000
57665,2019/05/06,NKE,83.57000
57665,2019/05/07,NKE,82.54000
57665,2019/05/08,NKE,82.77000
57665,2019/05/09,NKE,82.98000
